measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2012,304349.0834,348995.7083,265148.9889
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2012,0.000293119,0.000339543,0.000252751
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2012,171.9724665,197.2000444,149.8224509
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2013,303277.8546,348481.4514,264061.659
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2013,0.000285836,0.000330107,0.000246864
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2013,166.5194119,191.3391482,144.9871512
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2015,302558.7753,347778.2693,263660.0494
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2015,0.000272414,0.000314137,0.00023556
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2015,157.0278506,180.496745,136.8394316
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2014,302708.1682,347870.4776,263150.7794
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2014,0.000278877,0.00032205,0.000240664
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2014,161.5624726,185.6666598,140.4497633
Incidence,Nigeria,Both,All Ages,Malaria,Number,2015,55036277,69070353.74,42662618.01
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2015,0.049530789,0.062026404,0.03880325
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2015,28563.79979,35847.47849,22141.87707
Incidence,Nigeria,Both,All Ages,Malaria,Number,2014,56335886.25,69811585.35,44583271.55
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2014,0.051879058,0.064406242,0.041291125
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2014,30067.78817,37260.08588,23795.14114
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2017,299794.2337,343699.3495,261608.1067
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2017,0.000254548,0.000293604,0.000219842
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2017,147.2811272,168.8505712,128.5212739
